Transaction_ID,Date_Time,Branch,Product_Name,Size,Unit_Price,Quantity,Discount_Rate,Topping_Type,Customer_ID,Customer_Age,Customer_Gender,Membership_Status,Payment_Method,Order_Source,Delivery_Time_Min,Delivery_Distance_KM,Staff_ID,Temperature_Celsius,Humidity_Percent,Store_Rating,Is_Public_Holiday,Category,Region,Is_Weekend,Hour_of_Day,Tax_Amount
104916,21/02/2024 04:45,Cairo-Zamalek,Om Ali Cream,Small,109.17,10,0.15,Nuts,80469,72,Male,Silver,Cash,Talabat,90,12.3,126,27.5,55.6,2,0,Traditional,Greater Cairo,0,4,152.84
102074,22/01/2024 14:15,Cairo-Zamalek,Qishtouza Nutella,Large,40.49,7,0.05,Pistachio,62644,60,Female,None,Wallet,ElMenus,113,14.4,148,29.8,63.5,2,0,Modern,Greater Cairo,0,14,39.68
104755,19/02/2024 12:30,Cairo-Zamalek,Om Ali Cream,Medium,141.21,6,0,Lotus,72999,33,Female,Bronze,Wallet,In-store,21,11.8,116,16.3,42.1,2,0,Traditional,Greater Cairo,0,12,118.62
101897,20/01/2024 18:00,Tanta-Saeed,Super B.Laban,Small,50.18,4,0,Lotus,58647,66,Male,Gold,Credit Card,ElMenus,46,12.8,107,44.7,69.4,3,0,Signature,Delta,1,18,28.1
108553,30/03/2024 02:00,Tanta-Saeed,Om Ali Cream,Medium,64.8,6,0.05,Pistachio,66204,49,Male,Bronze,Instapay,Talabat,79,9.8,145,16.1,76.6,3,0,Traditional,Delta,1,2,54.43
106703,10/03/2024 19:30,Tanta-Saeed,Rice Pudding Nuts,Small,132.22,7,0,Pistachio,74073,50,Female,Silver,Wallet,Mobile App,34,2.9,129,39.9,35.2,2,0,Traditional,Delta,1,19,129.58
106318,06/03/2024 19:15,Dubai-Marina,Super B.Laban,Large,83.32,6,0,None,85183,26,Female,Gold,Wallet,Talabat,21,6.2,117,31.5,44.6,3,0,Signature,UAE,0,19,69.99
103660,08/02/2024 02:45,Alex-Stanly,Ice Cream Mango,Small,113.93,1,0,Nutella,50638,41,,Gold,Credit Card,Talabat,100,1.4,142,22.7,42,2,0,Ice Cream,Alexandria,0,2,15.95
106582,09/03/2024 13:15,Riyadh-Olaya,Om Ali Cream,Medium,61.81,10,0.05,None,69343,,Female,Silver,Cash,ElMenus,105,1.5,131,38.1,71.7,2,0,Traditional,KSA,1,13,86.53
102380,25/01/2024 18:45,Giza-Zayed,Ice Cream Mango,Large,165.86,3,0,Pistachio,73627,61,Female,Gold,Credit Card,Talabat,78,2.8,137,36.4,88.7,2,0,Ice Cream,Greater Cairo,0,18,69.66
101448,16/01/2024 01:45,Riyadh-Olaya,Rice Pudding Nuts,Medium,52.67,11,0,Lotus,65924,74,Female,Bronze,Instapay,ElMenus,59,9.8,132,15.5,89.4,4,0,Traditional,KSA,0,1,81.11
100343,04/01/2024 13:30,Alex-Stanly,Ice Cream Mango,Small,101.8,7,0.15,None,89731,22,,Bronze,Wallet,ElMenus,111,8.2,105,41.7,41,1,0,Ice Cream,Alexandria,0,13,99.76
105128,23/02/2024 09:45,Cairo-Zamalek,Rice Pudding Oven,Medium,97.29,11,0.05,Lotus,72593,45,,Gold,Wallet,ElMenus,89,1.3,138,39.3,72.7,,0,Traditional,Greater Cairo,1,9,149.83
103137,02/02/2024 16:00,Giza-Zayed,Sweet Koshary Mix,Large,65.55,11,0,Pistachio,75624,33,Male,Gold,Instapay,ElMenus,81,4,124,39.1,61.2,2,0,Signature,Greater Cairo,1,16,100.95
102528,27/01/2024 07:45,Cairo-Nasr City,Qishtouza Nutella,Small,140.24,9,0,Pistachio,71762,24,Male,Bronze,Credit Card,ElMenus,75,7.7,107,44.8,54.1,2,0,Modern,Greater Cairo,1,7,176.7
100728,08/01/2024 13:45,Alex-Stanly,Sweet Koshary Mix,Medium,72.48,4,0,Lotus,67631,,Female,Gold,Wallet,Mobile App,35,2.1,143,30.6,65.1,,0,Signature,Alexandria,0,13,40.59
104578,17/02/2024 16:15,Alex-Stanly,Ice Cream Mango,Medium,159,6,0,Pistachio,71172,34,Male,Bronze,Credit Card,In-store,53,3.9,136,44.1,42.1,3,0,Ice Cream,Alexandria,1,16,133.56
100977,11/01/2024 04:00,Riyadh-Olaya,Om Ali Cream,Large,54.3,8,0,Lotus,86585,42,Female,Silver,Wallet,Talabat,14,1.4,119,23.7,31.5,4,0,Traditional,KSA,0,4,60.82
108392,28/03/2024 09:45,Mansoura-Mashaya,Ice Cream Mango,Large,40.65,10,0,Nutella,84061,,Female,Bronze,Wallet,ElMenus,32,3.4,116,39.1,27.6,4,0,Ice Cream,Delta,0,9,56.91
105444,26/02/2024 16:45,Dubai-Marina,Qishtouza Lotus,Medium,91.93,1,0,,58553,65,Male,,Cash,In-store,46,9.3,133,38.7,25.9,5,0,Modern,UAE,0,16,12.87
109035,04/04/2024 02:30,Tanta-Saeed,Ice Cream Mango,Medium,115.53,5,0,Lotus,68153,44,Male,Silver,Wallet,In-store,112,10.9,121,33.4,66.7,4,0,Ice Cream,Delta,0,2,80.87
103517,06/02/2024 15:00,Alex-Stanly,Rice Pudding Oven,Medium,122.03,11,0,None,69544,,Female,Gold,Wallet,In-store,117,13.3,117,26,34.1,,0,Traditional,Alexandria,0,15,187.93
107976,24/03/2024 01:45,Tanta-Saeed,Ice Cream Mango,Small,155.83,11,0,Nutella,75415,41,Male,Silver,Cash,ElMenus,50,14,130,29.6,66.9,1,0,Ice Cream,Delta,1,1,239.98
109788,11/04/2024 22:45,Mansoura-Mashaya,Qishtouza Nutella,Small,157.75,3,0,Lotus,57415,,Male,Gold,Cash,Talabat,78,13.4,120,17,83.2,1,0,Modern,Delta,0,22,66.26
103941,11/02/2024 01:00,Cairo-Nasr City,Om Ali Cream,Small,151.69,8,0,Lotus,54693,39,Female,Bronze,Credit Card,Mobile App,96,6.8,128,37.4,55.9,5,0,Traditional,Greater Cairo,1,1,169.89
101300,14/01/2024 12:45,Cairo-Zamalek,Ice Cream Mango,Medium,97.59,4,0,None,83669,32,Male,Bronze,Credit Card,Mobile App,99,14.4,105,43.9,25.3,2,0,Ice Cream,Greater Cairo,1,12,54.65
109765,11/04/2024 17:00,Cairo-Zamalek,Rice Pudding Oven,Medium,162.43,5,0,Nuts,58831,28,,None,Instapay,Talabat,59,12.8,108,35,83.1,3,0,Traditional,Greater Cairo,0,17,113.7
101349,15/01/2024 01:00,Riyadh-Olaya,Qishtouza Lotus,Small,157.38,6,0,,85730,67,Male,Gold,Wallet,ElMenus,58,13.1,140,38.6,29.9,3,0,Modern,KSA,0,1,132.2
100661,07/01/2024 21:00,Riyadh-Olaya,Rice Pudding Oven,Medium,142.81,8,0,Nuts,65225,73,Male,None,Cash,Mobile App,105,11.4,133,39.7,36.8,5,0,Traditional,KSA,1,21,159.95
105887,02/03/2024 07:30,Cairo-Nasr City,Qishtouza Lotus,Medium,81.44,4,0,Nuts,84564,54,Female,Gold,Wallet,Mobile App,21,14.3,147,21.1,75.9,,0,Modern,Greater Cairo,1,7,45.61
101493,16/01/2024 13:00,Dubai-Marina,Super B.Laban,Medium,141.62,5,0.15,None,68393,12,Male,None,Instapay,Talabat,84,13.9,111,39.9,87.5,3,0,Signature,UAE,0,13,99.13
109947,13/04/2024 14:30,Mansoura-Mashaya,Rice Pudding Oven,Medium,60.33,6,0,,82421,29,Female,Silver,Wallet,Talabat,81,10.5,103,15.9,69.8,1,0,Traditional,Delta,1,14,50.68
104590,17/02/2024 19:15,Cairo-Nasr City,Qishtouza Nutella,Small,156.88,1,0,Nutella,50623,44,,Gold,Instapay,Talabat,37,4.8,110,21.3,31.1,2,0,Modern,Greater Cairo,1,19,21.96
108531,29/03/2024 20:30,Riyadh-Olaya,Ice Cream Mango,Small,145.86,2,0,Nuts,81771,,Male,None,Wallet,Talabat,21,6.1,118,40.4,87.6,4,0,Ice Cream,KSA,1,20,40.84
105155,23/02/2024 16:30,Mansoura-Mashaya,Sweet Koshary Mix,Medium,115.4,10,0.1,,71639,22,Male,Silver,Wallet,ElMenus,78,2.7,132,34.8,57.9,2,0,Signature,Delta,1,16,161.56
102316,25/01/2024 02:45,Mansoura-Mashaya,Rice Pudding Oven,Medium,72.94,9,0.15,None,74457,41,Female,Gold,Wallet,Mobile App,26,10.4,120,25.5,80.5,3,1,Traditional,Delta,0,2,91.9
109615,10/04/2024 03:30,Alex-Stanly,Qishtouza Nutella,Large,88.54,5,0,Nuts,62235,24,Male,Silver,Credit Card,In-store,90,5.7,140,16.9,84.8,1,0,Modern,Alexandria,0,3,61.98
109578,09/04/2024 18:15,Alex-Stanly,Qishtouza Lotus,Small,122.42,6,0,Nuts,87246,23,,Gold,Credit Card,Talabat,78,2.2,115,35.9,29.9,2,0,Modern,Alexandria,0,18,102.83
107025,14/03/2024 04:00,Dubai-Marina,Ice Cream Mango,Large,43.8,6,0.15,Nutella,88034,61,Male,,Credit Card,Mobile App,17,13.4,140,28.4,63.4,5,0,Ice Cream,UAE,0,4,36.79
101086,12/01/2024 07:15,Cairo-Nasr City,Rice Pudding Oven,Medium,50.15,10,0.1,None,56281,54,Female,Gold,Instapay,In-store,75,12.3,131,35.6,48.1,4,0,Traditional,Greater Cairo,1,7,70.21
102525,27/01/2024 07:00,Alex-Stanly,Rice Pudding Nuts,Small,144.9,5,0,Nutella,58165,16,Male,Gold,Cash,In-store,21,14.2,104,20.1,65.9,4,0,Traditional,Alexandria,1,7,101.43
108969,03/04/2024 10:00,Cairo-Zamalek,Rice Pudding Nuts,Medium,83.73,4,0,Pistachio,62047,73,Male,Bronze,Wallet,ElMenus,17,5.2,138,35.5,56,3,0,Traditional,Greater Cairo,0,10,46.89
105375,25/02/2024 23:30,Cairo-Zamalek,Qishtouza Lotus,Small,47.79,4,0.15,Nuts,67259,66,Male,,Instapay,Talabat,112,14.4,103,22.8,28.1,1,0,Modern,Greater Cairo,1,23,26.76
103199,03/02/2024 07:30,Cairo-Nasr City,Qishtouza Lotus,Medium,125.54,6,0,Nutella,79622,19,Female,Silver,Wallet,ElMenus,90,5.7,102,27.2,70.9,5,0,Modern,Greater Cairo,1,7,105.45
105752,29/02/2024 21:45,Giza-Zayed,Sweet Koshary Mix,Large,117.95,9,0.05,,79660,60,Male,None,Cash,ElMenus,102,12.5,106,24.2,28.6,3,0,Signature,Greater Cairo,0,21,148.62
104009,11/02/2024 18:00,Riyadh-Olaya,Qishtouza Lotus,Medium,85.06,5,0,Nuts,82949,74,Female,None,Wallet,In-store,103,0.6,147,31.1,22.3,5,0,Modern,KSA,1,18,59.54
105718,29/02/2024 13:15,Cairo-Nasr City,Rice Pudding Nuts,Large,98.27,9,0,Nuts,65398,,Male,None,Wallet,Mobile App,48,7.6,112,31.8,57.6,4,0,Traditional,Greater Cairo,0,13,123.82
106658,10/03/2024 08:15,Alex-Stanly,Ice Cream Mango,Small,143.8,7,0,Nuts,65046,30,,Silver,Cash,Mobile App,74,11,102,18.3,78.7,5,0,Ice Cream,Alexandria,1,8,140.92
109358,07/04/2024 11:15,Cairo-Zamalek,Om Ali Cream,Large,48.22,1,0.15,Nuts,79532,64,Male,Silver,Instapay,Talabat,112,11.1,139,17,57.6,1,0,Traditional,Greater Cairo,1,11,6.75
108791,01/04/2024 13:30,Tanta-Saeed,Qishtouza Lotus,Medium,89.97,2,0.05,Nuts,78581,19,Male,Silver,Credit Card,Talabat,22,2.4,136,24.2,41.9,3,1,Modern,Delta,0,13,25.19
100068,01/01/2024 16:45,Cairo-Nasr City,Qishtouza Nutella,Large,129.55,3,0,Nutella,71626,33,Female,Bronze,Credit Card,ElMenus,48,1.1,129,39.9,74.2,1,0,Modern,Greater Cairo,0,16,54.41
107924,23/03/2024 12:45,Alex-Stanly,Rice Pudding Nuts,Medium,97.3,5,0,Pistachio,73486,51,Male,Silver,Instapay,ElMenus,68,4.6,130,41.3,37.1,1,0,Traditional,Alexandria,1,12,68.11
100041,01/01/2024 10:00,Alex-Stanly,Ice Cream Mango,Large,68.25,5,0.05,,79280,46,Male,,Instapay,ElMenus,100,12.9,129,42.5,65.9,1,0,Ice Cream,Alexandria,0,10,47.78
102270,24/01/2024 15:15,Giza-Zayed,Om Ali Cream,Small,57.43,1,0,None,74769,,Male,None,Cash,In-store,89,4.4,123,27.6,35.7,5,0,Traditional,Greater Cairo,0,15,8.04
102382,25/01/2024 19:15,Cairo-Nasr City,Ice Cream Mango,Medium,101.61,4,0.15,Lotus,58522,37,Male,Bronze,Wallet,ElMenus,43,11.3,116,23,61.4,2,0,Ice Cream,Greater Cairo,0,19,56.9
107342,17/03/2024 11:15,Riyadh-Olaya,Qishtouza Nutella,Medium,66.32,4,0,Lotus,53061,68,Male,Silver,Wallet,In-store,78,0.7,149,36.2,32.8,1,0,Modern,KSA,1,11,37.14
109962,13/04/2024 18:15,Dubai-Marina,Ice Cream Mango,Small,51.41,1,0,Pistachio,50266,,Male,Gold,Wallet,Mobile App,100,13.7,136,18.2,89.7,5,0,Ice Cream,UAE,1,18,7.2
104917,21/02/2024 05:00,Alex-Stanly,Sweet Koshary Mix,Large,126.48,5,0,Nuts,65374,57,Male,None,Wallet,ElMenus,55,3.9,146,42.5,43.1,2,0,Signature,Alexandria,0,5,88.54
105323,25/02/2024 10:30,Riyadh-Olaya,Ice Cream Mango,Small,101.59,2,0,Nuts,88446,28,Male,Gold,Cash,Mobile App,59,13.5,126,25.4,21.2,1,0,Ice Cream,KSA,1,10,28.45
105774,01/03/2024 03:15,Cairo-Nasr City,Rice Pudding Oven,Large,129.13,5,0.05,Nuts,66007,45,Female,,Cash,Mobile App,30,3.4,117,15.8,38.5,3,0,Traditional,Greater Cairo,1,3,90.39
106233,05/03/2024 22:00,Riyadh-Olaya,Rice Pudding Oven,Large,158.7,4,0.1,None,62801,57,Female,Gold,Wallet,Talabat,53,10.5,113,38.3,25.9,2,0,Traditional,KSA,0,22,88.87
106964,13/03/2024 12:45,Cairo-Nasr City,Om Ali Cream,Medium,96.85,6,0,,67445,,,Silver,Wallet,In-store,57,7.3,124,32.7,75.9,4,0,Traditional,Greater Cairo,0,12,81.35
103448,05/02/2024 21:45,Dubai-Marina,Sweet Koshary Mix,Medium,96.88,11,0.15,Nutella,64523,57,Female,Gold,Cash,In-store,96,5.9,118,36.3,27.2,2,0,Signature,UAE,0,21,149.2
106817,12/03/2024 00:00,Alex-Stanly,Rice Pudding Oven,Medium,131.96,3,0,Nutella,82921,28,Female,Gold,Instapay,Mobile App,30,13.7,106,42.2,28.4,4,0,Traditional,Alexandria,0,0,55.42
102368,25/01/2024 15:45,Mansoura-Mashaya,Super B.Laban,Medium,53.18,1,0.05,,77981,69,Female,Bronze,Instapay,In-store,31,8.3,102,41.3,41.9,3,0,Signature,Delta,0,15,7.45
107982,24/03/2024 03:15,Dubai-Marina,Sweet Koshary Mix,Small,93.29,3,0.05,None,55303,67,Female,Bronze,Cash,Talabat,32,12.9,127,32.7,70.1,4,0,Signature,UAE,1,3,39.18
108167,26/03/2024 01:30,Cairo-Nasr City,Qishtouza Lotus,Large,126.34,8,0,,62532,49,Female,Gold,Credit Card,ElMenus,106,13.3,102,28.8,77.7,1,0,Modern,Greater Cairo,0,1,141.5
102513,27/01/2024 04:00,Tanta-Saeed,Rice Pudding Oven,Small,177.61,9,0,Lotus,74997,23,Male,Gold,Cash,In-store,50,12.9,118,44.7,27.4,2,0,Traditional,Delta,1,4,223.79
109620,10/04/2024 04:45,Riyadh-Olaya,Qishtouza Lotus,Large,115.64,4,0.05,Pistachio,63552,58,Male,Gold,Cash,In-store,35,12.1,128,16.5,60.2,3,0,Modern,KSA,0,4,64.76
102724,29/01/2024 08:45,Alex-Stanly,Om Ali Cream,Large,87.41,9,0,,67662,36,Female,Silver,Credit Card,Talabat,116,3.9,123,27.1,24.1,1,0,Traditional,Alexandria,0,8,110.14
105949,02/03/2024 23:00,Cairo-Zamalek,Rice Pudding Nuts,Medium,47.64,10,0,Lotus,81581,40,Male,Bronze,Cash,In-store,70,11.2,103,16.3,76.4,3,0,Traditional,Greater Cairo,1,23,66.7
109186,05/04/2024 16:15,Alex-Stanly,Qishtouza Nutella,Large,56.78,3,0.1,Lotus,75935,18,Female,Bronze,Wallet,ElMenus,49,2.6,144,26,50.8,1,0,Modern,Alexandria,1,16,23.85
109005,03/04/2024 19:00,Cairo-Nasr City,Ice Cream Mango,Large,113.77,6,0.05,Pistachio,78794,,Female,None,Wallet,ElMenus,76,10.1,125,38.4,38.6,2,1,Ice Cream,Greater Cairo,0,19,95.57
101144,12/01/2024 21:45,Dubai-Marina,Om Ali Cream,Large,120.48,1,0,Nutella,84924,63,Male,Bronze,Credit Card,Talabat,109,9.7,138,15.5,64.5,4,0,Traditional,UAE,1,21,16.87
109737,11/04/2024 10:00,Cairo-Zamalek,Sweet Koshary Mix,Medium,54.19,2,0,Nuts,53385,27,Male,Silver,Cash,Talabat,89,3.2,127,39,34,3,1,Signature,Greater Cairo,0,10,15.17
107223,16/03/2024 05:30,Cairo-Nasr City,Sweet Koshary Mix,Large,127.43,3,0,Nuts,61658,17,,Silver,Credit Card,Mobile App,75,10.5,105,17,31.5,4,0,Signature,Greater Cairo,1,5,53.52
108293,27/03/2024 09:00,Mansoura-Mashaya,Rice Pudding Oven,Medium,142.68,5,0.1,Lotus,85389,12,Male,Silver,Instapay,Talabat,97,5.1,128,37.5,38.3,1,0,Traditional,Delta,0,9,99.88
109221,06/04/2024 01:00,Alex-Stanly,Qishtouza Lotus,Medium,47.86,10,0.15,Lotus,71724,19,Male,Gold,Instapay,ElMenus,69,13.9,147,43.8,34.1,3,0,Modern,Alexandria,1,1,67
104729,19/02/2024 06:00,Mansoura-Mashaya,Qishtouza Lotus,Large,174.29,2,0,Pistachio,74050,42,Female,Bronze,Cash,Talabat,73,2.2,136,21.7,54.8,,0,Modern,Delta,0,6,48.8
105495,27/02/2024 05:30,Alex-Stanly,Om Ali Cream,Medium,50.36,4,0,,65846,56,Male,Silver,Cash,Mobile App,97,11.6,130,36.4,68.9,,0,Traditional,Alexandria,0,5,28.2
105756,29/02/2024 22:45,Mansoura-Mashaya,Super B.Laban,Large,48.37,7,0,Nutella,69759,57,Female,Silver,Wallet,Talabat,80,13.9,135,30,67.6,5,0,Signature,Delta,0,22,47.4
107563,19/03/2024 18:30,Cairo-Nasr City,Om Ali Cream,Medium,126.3,8,0,Nuts,75016,12,,Silver,Instapay,Talabat,10,2.8,129,43.3,59,4,0,Traditional,Greater Cairo,0,18,141.46
103790,09/02/2024 11:15,Mansoura-Mashaya,Qishtouza Lotus,Medium,114.65,5,0.15,,66236,46,Female,Gold,Instapay,Mobile App,56,11.7,111,44.4,56.4,1,0,Modern,Delta,1,11,80.26
102221,24/01/2024 03:00,Riyadh-Olaya,Super B.Laban,Small,75.41,8,0,Pistachio,75133,,Male,None,Cash,ElMenus,68,14.3,109,36.9,70.5,2,0,Signature,KSA,0,3,84.46
105076,22/02/2024 20:45,Mansoura-Mashaya,Ice Cream Mango,Medium,91.66,7,0.1,Nuts,85219,26,Female,Silver,Credit Card,ElMenus,114,13.4,111,42.3,54.8,,0,Ice Cream,Delta,0,20,89.83
102332,25/01/2024 06:45,Cairo-Zamalek,Ice Cream Mango,Large,64.38,2,0,,72039,73,Male,None,Cash,ElMenus,84,4.1,142,44.7,50.2,3,0,Ice Cream,Greater Cairo,0,6,18.03
105395,26/02/2024 04:30,Giza-Zayed,Qishtouza Nutella,Large,91.15,10,0,,87971,,Male,Bronze,Credit Card,ElMenus,51,3.8,106,34,48.8,2,0,Modern,Greater Cairo,0,4,127.61
107440,18/03/2024 11:45,Cairo-Zamalek,Om Ali Cream,Large,161.86,9,0,Nutella,65500,27,Female,Gold,Instapay,Mobile App,83,12.2,147,39.5,69.9,4,0,Traditional,Greater Cairo,0,11,203.94
108068,25/03/2024 00:45,Cairo-Nasr City,Sweet Koshary Mix,Medium,112.94,1,0.15,,83927,73,Male,Bronze,Credit Card,ElMenus,101,8.3,105,42.2,52.4,4,0,Signature,Greater Cairo,0,0,15.81
107091,14/03/2024 20:30,Dubai-Marina,Super B.Laban,Small,155.34,1,0,Nutella,64464,45,Male,Gold,Instapay,ElMenus,117,1.9,101,33,62.9,4,0,Signature,UAE,0,20,21.75
109337,07/04/2024 06:00,Dubai-Marina,Om Ali Cream,Medium,66.7,2,0,Lotus,81483,32,Male,Silver,Wallet,In-store,40,14.6,146,40,41.3,,0,Traditional,UAE,1,6,18.68
104089,12/02/2024 14:00,Cairo-Zamalek,Super B.Laban,Small,83.7,-5,0.05,Lotus,64938,64,Female,Gold,Cash,Talabat,64,3.6,126,30.4,23.6,3,0,Signature,Greater Cairo,0,14,105.46
101968,21/01/2024 11:45,Riyadh-Olaya,Rice Pudding Nuts,Small,150.07,9,0.05,Pistachio,71623,64,Female,Gold,Credit Card,Talabat,111,10.9,144,27.7,56.7,4,1,Traditional,KSA,1,11,189.09
109364,07/04/2024 12:45,Tanta-Saeed,Om Ali Cream,Medium,174.41,10,0,,57179,20,Female,Silver,Cash,In-store,102,12.4,121,32.3,23.8,4,0,Traditional,Delta,1,12,244.17
109797,12/04/2024 01:00,Cairo-Nasr City,Om Ali Cream,Large,166.21,10,0,Pistachio,70600,55,Male,Gold,Cash,ElMenus,19,9,121,28.3,44.1,2,0,Traditional,Greater Cairo,1,1,232.69
106758,11/03/2024 09:15,Cairo-Zamalek,Rice Pudding Oven,Large,149.07,7,0,Nutella,61483,39,Male,Gold,Instapay,Mobile App,68,4.5,128,28.4,61.4,2,0,Traditional,Greater Cairo,0,9,146.09
109587,09/04/2024 20:30,Dubai-Marina,Sweet Koshary Mix,Large,82.05,11,0,None,60854,40,Male,Gold,Cash,ElMenus,32,7.3,137,16,31.7,2,0,Signature,UAE,0,20,126.36
104366,15/02/2024 11:15,Cairo-Nasr City,Rice Pudding Nuts,Medium,45.63,6,0.15,None,73000,20,Female,Gold,Wallet,Talabat,112,9,113,30.6,48.9,5,0,Traditional,Greater Cairo,0,11,38.33
107000,13/03/2024 21:45,Dubai-Marina,Rice Pudding Nuts,Small,54.13,3,0,None,71318,32,Female,Gold,Instapay,Talabat,62,2.2,125,42.7,79.3,3,0,Traditional,UAE,0,21,22.73
100424,05/01/2024 09:45,Alex-Stanly,Qishtouza Lotus,Medium,116.71,10,0,Nuts,85951,34,Male,Gold,Cash,Mobile App,106,4.4,141,26.4,77.6,2,0,Modern,Alexandria,1,9,163.39
100281,03/01/2024 22:00,Giza-Zayed,Ice Cream Mango,Medium,72.23,6,0.05,None,60460,61,Male,Silver,Credit Card,Talabat,20,1.1,139,21.1,66,4,0,Ice Cream,Greater Cairo,0,22,60.67
101905,20/01/2024 20:00,Dubai-Marina,Super B.Laban,Large,137.37,10,0,Nutella,85577,48,Male,Gold,Wallet,Mobile App,95,9.8,122,26.5,56.6,4,0,Signature,UAE,1,20,192.32
100596,07/01/2024 04:45,Giza-Zayed,Ice Cream Mango,Large,65.01,5,0,Lotus,72243,13,Male,Silver,Cash,Mobile App,50,5.2,149,18.6,52.5,2,0,Ice Cream,Greater Cairo,1,4,45.51
108580,30/03/2024 08:45,Giza-Zayed,Qishtouza Nutella,Medium,92.18,3,0,None,59693,60,Male,Bronze,Wallet,ElMenus,33,14.1,122,34.7,60.5,2,0,Modern,Greater Cairo,1,8,38.72
103918,10/02/2024 19:15,Giza-Zayed,Super B.Laban,Large,117.46,3,0,Pistachio,83012,,Male,Gold,Credit Card,In-store,20,4.6,102,24.8,40.8,1,0,Signature,Greater Cairo,1,19,49.33
106143,04/03/2024 23:30,Riyadh-Olaya,Qishtouza Nutella,Large,146.28,2,0,Pistachio,66354,50,Male,Gold,Credit Card,ElMenus,99,5.7,121,22.9,54.3,1,0,Modern,KSA,0,23,40.96
