Transaction_ID,Date_Time,Branch,Product_Name,Size,Unit_Price,Quantity,Discount_Rate,Topping_Type,Customer_ID,Customer_Age,Customer_Gender,Membership_Status,Payment_Method,Order_Source,Delivery_Time_Min,Delivery_Distance_KM,Staff_ID,Temperature_Celsius,Humidity_Percent,Store_Rating,Is_Public_Holiday,Category,Region,Is_Weekend,Hour_of_Day,Tax_Amount,Total_Revenue,Year,month,day,Shift,Discount_Group,Temperature_Group
102074,2024-01-22 14:15:00,Cairo-Zamalek,Qishtouza Nutella,Large,40.49,7,0.05,Pistachio,62644,60.0,Female,Unknown,Wallet,ElMenus,113,14.4,148,29.8,63.5,2.0,0,Modern,Greater Cairo,0,14,39.68,323.11,2024,1,22,Afternoon,Low Discount,Hot
104755,2024-02-19 12:30:00,Cairo-Zamalek,Om Ali Cream,Medium,141.21,6,0.0,Lotus,72999,33.0,Female,Bronze,Wallet,In-store,21,11.8,116,16.3,42.1,2.0,0,Traditional,Greater Cairo,0,12,118.62,965.88,2024,2,19,Afternoon,No Discount,Cold
101897,2024-01-20 18:00:00,Tanta-Saeed,Super B.Laban,Small,50.18,4,0.0,Lotus,58647,66.0,Male,Gold,Credit Card,ElMenus,46,12.8,107,44.7,69.4,3.0,0,Signature,Delta,1,18,28.1,228.82,2024,1,20,Evening,No Discount,Hot
108553,2024-03-30 02:00:00,Tanta-Saeed,Om Ali Cream,Medium,64.8,6,0.05,Pistachio,66204,49.0,Male,Bronze,Instapay,Talabat,79,9.8,145,16.1,76.6,3.0,0,Traditional,Delta,1,2,54.43,443.22999999999996,2024,3,30,Late Night,Low Discount,Cold
106703,2024-03-10 19:30:00,Tanta-Saeed,Rice Pudding Nuts,Small,132.22,7,0.0,Pistachio,74073,50.0,Female,Silver,Wallet,Mobile App,34,2.9,129,39.9,35.2,2.0,0,Traditional,Delta,1,19,129.58,1055.12,2024,3,10,Evening,No Discount,Hot
106318,2024-03-06 19:15:00,Dubai-Marina,Super B.Laban,Large,83.32,6,0.0,none,85183,26.0,Female,Gold,Wallet,Talabat,21,6.2,117,31.5,44.6,3.0,0,Signature,UAE,0,19,69.99,569.91,2024,3,6,Evening,No Discount,Hot
103660,2024-02-08 02:45:00,Alex-Stanly,Ice Cream Mango,Small,113.93,1,0.0,Nutella,50638,41.0,Female,Gold,Credit Card,Talabat,100,1.4,142,22.7,42.0,2.0,0,Ice Cream,Alexandria,0,2,15.95,129.88,2024,2,8,Late Night,No Discount,Moderate
106582,2024-03-09 13:15:00,Riyadh-Olaya,Om Ali Cream,Medium,61.81,10,0.05,none,69343,43.5,Female,Silver,Cash,ElMenus,105,1.5,131,38.1,71.7,2.0,0,Traditional,KSA,1,13,86.53,704.63,2024,3,9,Afternoon,Low Discount,Hot
102380,2024-01-25 18:45:00,Giza-Zayed,Ice Cream Mango,Large,165.86,3,0.0,Pistachio,73627,61.0,Female,Gold,Credit Card,Talabat,78,2.8,137,36.4,88.7,2.0,0,Ice Cream,Greater Cairo,0,18,69.66,567.24,2024,1,25,Evening,No Discount,Hot
101448,2024-01-16 01:45:00,Riyadh-Olaya,Rice Pudding Nuts,Medium,52.67,11,0.0,Lotus,65924,74.0,Female,Bronze,Instapay,ElMenus,59,9.8,132,15.5,89.4,4.0,0,Traditional,KSA,0,1,81.11,660.48,2024,1,16,Late Night,No Discount,Cold
100343,2024-01-04 13:30:00,Alex-Stanly,Ice Cream Mango,Small,101.8,7,0.15,none,89731,22.0,Female,Bronze,Wallet,ElMenus,111,8.2,105,41.7,41.0,1.0,0,Ice Cream,Alexandria,0,13,99.76,812.36,2024,1,4,Afternoon,Medium Discount,Hot
105128,2024-02-23 09:45:00,Cairo-Zamalek,Rice Pudding Oven,Medium,97.29,11,0.05,Lotus,72593,45.0,Female,Gold,Wallet,ElMenus,89,1.3,138,39.3,72.7,3.0,0,Traditional,Greater Cairo,1,9,149.83,1220.02,2024,2,23,Morning,Low Discount,Hot
103137,2024-02-02 16:00:00,Giza-Zayed,Sweet Koshary Mix,Large,65.55,11,0.0,Pistachio,75624,33.0,Male,Gold,Instapay,ElMenus,81,4.0,124,39.1,61.2,2.0,0,Signature,Greater Cairo,1,16,100.95,822.0,2024,2,2,Afternoon,No Discount,Hot
102528,2024-01-27 07:45:00,Cairo-Nasr City,Qishtouza Nutella,Small,140.24,9,0.0,Pistachio,71762,24.0,Male,Bronze,Credit Card,ElMenus,75,7.7,107,44.8,54.1,2.0,0,Modern,Greater Cairo,1,7,176.7,1438.8600000000001,2024,1,27,Morning,No Discount,Hot
100728,2024-01-08 13:45:00,Alex-Stanly,Sweet Koshary Mix,Medium,72.48,4,0.0,Lotus,67631,43.5,Female,Gold,Wallet,Mobile App,35,2.1,143,30.6,65.1,3.0,0,Signature,Alexandria,0,13,40.59,330.51,2024,1,8,Afternoon,No Discount,Hot
104578,2024-02-17 16:15:00,Alex-Stanly,Ice Cream Mango,Medium,159.0,6,0.0,Pistachio,71172,34.0,Male,Bronze,Credit Card,In-store,53,3.9,136,44.1,42.1,3.0,0,Ice Cream,Alexandria,1,16,133.56,1087.56,2024,2,17,Afternoon,No Discount,Hot
100977,2024-01-11 04:00:00,Riyadh-Olaya,Om Ali Cream,Large,54.3,8,0.0,Lotus,86585,42.0,Female,Silver,Wallet,Talabat,14,1.4,119,23.7,31.5,4.0,0,Traditional,KSA,0,4,60.82,495.21999999999997,2024,1,11,Late Night,No Discount,Moderate
108392,2024-03-28 09:45:00,Mansoura-Mashaya,Ice Cream Mango,Large,40.65,10,0.0,Nutella,84061,43.5,Female,Bronze,Wallet,ElMenus,32,3.4,116,39.1,27.6,4.0,0,Ice Cream,Delta,0,9,56.91,463.40999999999997,2024,3,28,Morning,No Discount,Hot
105444,2024-02-26 16:45:00,Dubai-Marina,Qishtouza Lotus,Medium,91.93,1,0.0,none,58553,65.0,Male,Unknown,Cash,In-store,46,9.3,133,38.7,25.9,5.0,0,Modern,UAE,0,16,12.87,104.80000000000001,2024,2,26,Afternoon,No Discount,Hot
109035,2024-04-04 02:30:00,Tanta-Saeed,Ice Cream Mango,Medium,115.53,5,0.0,Lotus,68153,44.0,Male,Silver,Wallet,In-store,112,10.9,121,33.4,66.7,4.0,0,Ice Cream,Delta,0,2,80.87,658.52,2024,4,4,Late Night,No Discount,Hot
103517,2024-02-06 15:00:00,Alex-Stanly,Rice Pudding Oven,Medium,122.03,11,0.0,none,69544,43.5,Female,Gold,Wallet,In-store,117,13.3,117,26.0,34.1,3.0,0,Traditional,Alexandria,0,15,187.93,1530.26,2024,2,6,Afternoon,No Discount,Hot
107976,2024-03-24 01:45:00,Tanta-Saeed,Ice Cream Mango,Small,155.83,11,0.0,Nutella,75415,41.0,Male,Silver,Cash,ElMenus,50,14.0,130,29.6,66.9,1.0,0,Ice Cream,Delta,1,1,239.98,1954.1100000000001,2024,3,24,Late Night,No Discount,Hot
109788,2024-04-11 22:45:00,Mansoura-Mashaya,Qishtouza Nutella,Small,157.75,3,0.0,Lotus,57415,43.5,Male,Gold,Cash,Talabat,78,13.4,120,17.0,83.2,1.0,0,Modern,Delta,0,22,66.26,539.51,2024,4,11,Late Night,No Discount,Cold
103941,2024-02-11 01:00:00,Cairo-Nasr City,Om Ali Cream,Small,151.69,8,0.0,Lotus,54693,39.0,Female,Bronze,Credit Card,Mobile App,96,6.8,128,37.4,55.9,5.0,0,Traditional,Greater Cairo,1,1,169.89,1383.4099999999999,2024,2,11,Late Night,No Discount,Hot
101300,2024-01-14 12:45:00,Cairo-Zamalek,Ice Cream Mango,Medium,97.59,4,0.0,none,83669,32.0,Male,Bronze,Credit Card,Mobile App,99,14.4,105,43.9,25.3,2.0,0,Ice Cream,Greater Cairo,1,12,54.65,445.01,2024,1,14,Afternoon,No Discount,Hot
109765,2024-04-11 17:00:00,Cairo-Zamalek,Rice Pudding Oven,Medium,162.43,5,0.0,Nuts,58831,28.0,Female,Unknown,Instapay,Talabat,59,12.8,108,35.0,83.1,3.0,0,Traditional,Greater Cairo,0,17,113.7,925.8500000000001,2024,4,11,Evening,No Discount,Hot
101349,2024-01-15 01:00:00,Riyadh-Olaya,Qishtouza Lotus,Small,157.38,6,0.0,none,85730,67.0,Male,Gold,Wallet,ElMenus,58,13.1,140,38.6,29.9,3.0,0,Modern,KSA,0,1,132.2,1076.48,2024,1,15,Late Night,No Discount,Hot
100661,2024-01-07 21:00:00,Riyadh-Olaya,Rice Pudding Oven,Medium,142.81,8,0.0,Nuts,65225,73.0,Male,Unknown,Cash,Mobile App,105,11.4,133,39.7,36.8,5.0,0,Traditional,KSA,1,21,159.95,1302.43,2024,1,7,Evening,No Discount,Hot
105887,2024-03-02 07:30:00,Cairo-Nasr City,Qishtouza Lotus,Medium,81.44,4,0.0,Nuts,84564,54.0,Female,Gold,Wallet,Mobile App,21,14.3,147,21.1,75.9,3.0,0,Modern,Greater Cairo,1,7,45.61,371.37,2024,3,2,Morning,No Discount,Moderate
101493,2024-01-16 13:00:00,Dubai-Marina,Super B.Laban,Medium,141.62,5,0.15,none,68393,12.0,Male,Unknown,Instapay,Talabat,84,13.9,111,39.9,87.5,3.0,0,Signature,UAE,0,13,99.13,807.23,2024,1,16,Afternoon,Medium Discount,Hot
109947,2024-04-13 14:30:00,Mansoura-Mashaya,Rice Pudding Oven,Medium,60.33,6,0.0,none,82421,29.0,Female,Silver,Wallet,Talabat,81,10.5,103,15.9,69.8,1.0,0,Traditional,Delta,1,14,50.68,412.66,2024,4,13,Afternoon,No Discount,Cold
104590,2024-02-17 19:15:00,Cairo-Nasr City,Qishtouza Nutella,Small,156.88,1,0.0,Nutella,50623,44.0,Female,Gold,Instapay,Talabat,37,4.8,110,21.3,31.1,2.0,0,Modern,Greater Cairo,1,19,21.96,178.84,2024,2,17,Evening,No Discount,Moderate
108531,2024-03-29 20:30:00,Riyadh-Olaya,Ice Cream Mango,Small,145.86,2,0.0,Nuts,81771,43.5,Male,Unknown,Wallet,Talabat,21,6.1,118,40.4,87.6,4.0,0,Ice Cream,KSA,1,20,40.84,332.56000000000006,2024,3,29,Evening,No Discount,Hot
105155,2024-02-23 16:30:00,Mansoura-Mashaya,Sweet Koshary Mix,Medium,115.4,10,0.1,none,71639,22.0,Male,Silver,Wallet,ElMenus,78,2.7,132,34.8,57.9,2.0,0,Signature,Delta,1,16,161.56,1315.56,2024,2,23,Afternoon,Medium Discount,Hot
102316,2024-01-25 02:45:00,Mansoura-Mashaya,Rice Pudding Oven,Medium,72.94,9,0.15,none,74457,41.0,Female,Gold,Wallet,Mobile App,26,10.4,120,25.5,80.5,3.0,1,Traditional,Delta,0,2,91.9,748.36,2024,1,25,Late Night,Medium Discount,Hot
109615,2024-04-10 03:30:00,Alex-Stanly,Qishtouza Nutella,Large,88.54,5,0.0,Nuts,62235,24.0,Male,Silver,Credit Card,In-store,90,5.7,140,16.9,84.8,1.0,0,Modern,Alexandria,0,3,61.98,504.68000000000006,2024,4,10,Late Night,No Discount,Cold
109578,2024-04-09 18:15:00,Alex-Stanly,Qishtouza Lotus,Small,122.42,6,0.0,Nuts,87246,23.0,Female,Gold,Credit Card,Talabat,78,2.2,115,35.9,29.9,2.0,0,Modern,Alexandria,0,18,102.83,837.35,2024,4,9,Evening,No Discount,Hot
107025,2024-03-14 04:00:00,Dubai-Marina,Ice Cream Mango,Large,43.8,6,0.15,Nutella,88034,61.0,Male,Unknown,Credit Card,Mobile App,17,13.4,140,28.4,63.4,5.0,0,Ice Cream,UAE,0,4,36.79,299.59,2024,3,14,Late Night,Medium Discount,Hot
101086,2024-01-12 07:15:00,Cairo-Nasr City,Rice Pudding Oven,Medium,50.15,10,0.1,none,56281,54.0,Female,Gold,Instapay,In-store,75,12.3,131,35.6,48.1,4.0,0,Traditional,Greater Cairo,1,7,70.21,571.71,2024,1,12,Morning,Medium Discount,Hot
102525,2024-01-27 07:00:00,Alex-Stanly,Rice Pudding Nuts,Small,144.9,5,0.0,Nutella,58165,16.0,Male,Gold,Cash,In-store,21,14.2,104,20.1,65.9,4.0,0,Traditional,Alexandria,1,7,101.43,825.9300000000001,2024,1,27,Morning,No Discount,Moderate
108969,2024-04-03 10:00:00,Cairo-Zamalek,Rice Pudding Nuts,Medium,83.73,4,0.0,Pistachio,62047,73.0,Male,Bronze,Wallet,ElMenus,17,5.2,138,35.5,56.0,3.0,0,Traditional,Greater Cairo,0,10,46.89,381.81,2024,4,3,Morning,No Discount,Hot
105375,2024-02-25 23:30:00,Cairo-Zamalek,Qishtouza Lotus,Small,47.79,4,0.15,Nuts,67259,66.0,Male,Unknown,Instapay,Talabat,112,14.4,103,22.8,28.1,1.0,0,Modern,Greater Cairo,1,23,26.76,217.92,2024,2,25,Late Night,Medium Discount,Moderate
103199,2024-02-03 07:30:00,Cairo-Nasr City,Qishtouza Lotus,Medium,125.54,6,0.0,Nutella,79622,19.0,Female,Silver,Wallet,ElMenus,90,5.7,102,27.2,70.9,5.0,0,Modern,Greater Cairo,1,7,105.45,858.69,2024,2,3,Morning,No Discount,Hot
105752,2024-02-29 21:45:00,Giza-Zayed,Sweet Koshary Mix,Large,117.95,9,0.05,none,79660,60.0,Male,Unknown,Cash,ElMenus,102,12.5,106,24.2,28.6,3.0,0,Signature,Greater Cairo,0,21,148.62,1210.17,2024,2,29,Evening,Low Discount,Moderate
104009,2024-02-11 18:00:00,Riyadh-Olaya,Qishtouza Lotus,Medium,85.06,5,0.0,Nuts,82949,74.0,Female,Unknown,Wallet,In-store,103,0.6,147,31.1,22.3,5.0,0,Modern,KSA,1,18,59.54,484.84000000000003,2024,2,11,Evening,No Discount,Hot
105718,2024-02-29 13:15:00,Cairo-Nasr City,Rice Pudding Nuts,Large,98.27,9,0.0,Nuts,65398,43.5,Male,Unknown,Wallet,Mobile App,48,7.6,112,31.8,57.6,4.0,0,Traditional,Greater Cairo,0,13,123.82,1008.25,2024,2,29,Afternoon,No Discount,Hot
106658,2024-03-10 08:15:00,Alex-Stanly,Ice Cream Mango,Small,143.8,7,0.0,Nuts,65046,30.0,Female,Silver,Cash,Mobile App,74,11.0,102,18.3,78.7,5.0,0,Ice Cream,Alexandria,1,8,140.92,1147.5200000000002,2024,3,10,Morning,No Discount,Cold
109358,2024-04-07 11:15:00,Cairo-Zamalek,Om Ali Cream,Large,48.22,1,0.15,Nuts,79532,64.0,Male,Silver,Instapay,Talabat,112,11.1,139,17.0,57.6,1.0,0,Traditional,Greater Cairo,1,11,6.75,54.97,2024,4,7,Morning,Medium Discount,Cold
108791,2024-04-01 13:30:00,Tanta-Saeed,Qishtouza Lotus,Medium,89.97,2,0.05,Nuts,78581,19.0,Male,Silver,Credit Card,Talabat,22,2.4,136,24.2,41.9,3.0,1,Modern,Delta,0,13,25.19,205.13,2024,4,1,Afternoon,Low Discount,Moderate
100068,2024-01-01 16:45:00,Cairo-Nasr City,Qishtouza Nutella,Large,129.55,3,0.0,Nutella,71626,33.0,Female,Bronze,Credit Card,ElMenus,48,1.1,129,39.9,74.2,1.0,0,Modern,Greater Cairo,0,16,54.41,443.06000000000006,2024,1,1,Afternoon,No Discount,Hot
107924,2024-03-23 12:45:00,Alex-Stanly,Rice Pudding Nuts,Medium,97.3,5,0.0,Pistachio,73486,51.0,Male,Silver,Instapay,ElMenus,68,4.6,130,41.3,37.1,1.0,0,Traditional,Alexandria,1,12,68.11,554.61,2024,3,23,Afternoon,No Discount,Hot
100041,2024-01-01 10:00:00,Alex-Stanly,Ice Cream Mango,Large,68.25,5,0.05,none,79280,46.0,Male,Unknown,Instapay,ElMenus,100,12.9,129,42.5,65.9,1.0,0,Ice Cream,Alexandria,0,10,47.78,389.03,2024,1,1,Morning,Low Discount,Hot
102270,2024-01-24 15:15:00,Giza-Zayed,Om Ali Cream,Small,57.43,1,0.0,none,74769,43.5,Male,Unknown,Cash,In-store,89,4.4,123,27.6,35.7,5.0,0,Traditional,Greater Cairo,0,15,8.04,65.47,2024,1,24,Afternoon,No Discount,Hot
102382,2024-01-25 19:15:00,Cairo-Nasr City,Ice Cream Mango,Medium,101.61,4,0.15,Lotus,58522,37.0,Male,Bronze,Wallet,ElMenus,43,11.3,116,23.0,61.4,2.0,0,Ice Cream,Greater Cairo,0,19,56.9,463.34,2024,1,25,Evening,Medium Discount,Moderate
107342,2024-03-17 11:15:00,Riyadh-Olaya,Qishtouza Nutella,Medium,66.32,4,0.0,Lotus,53061,68.0,Male,Silver,Wallet,In-store,78,0.7,149,36.2,32.8,1.0,0,Modern,KSA,1,11,37.14,302.41999999999996,2024,3,17,Morning,No Discount,Hot
109962,2024-04-13 18:15:00,Dubai-Marina,Ice Cream Mango,Small,51.41,1,0.0,Pistachio,50266,43.5,Male,Gold,Wallet,Mobile App,100,13.7,136,18.2,89.7,5.0,0,Ice Cream,UAE,1,18,7.2,58.61,2024,4,13,Evening,No Discount,Cold
104917,2024-02-21 05:00:00,Alex-Stanly,Sweet Koshary Mix,Large,126.48,5,0.0,Nuts,65374,57.0,Male,Unknown,Wallet,ElMenus,55,3.9,146,42.5,43.1,2.0,0,Signature,Alexandria,0,5,88.54,720.9399999999999,2024,2,21,Morning,No Discount,Hot
105323,2024-02-25 10:30:00,Riyadh-Olaya,Ice Cream Mango,Small,101.59,2,0.0,Nuts,88446,28.0,Male,Gold,Cash,Mobile App,59,13.5,126,25.4,21.2,1.0,0,Ice Cream,KSA,1,10,28.45,231.63,2024,2,25,Morning,No Discount,Hot
105774,2024-03-01 03:15:00,Cairo-Nasr City,Rice Pudding Oven,Large,129.13,5,0.05,Nuts,66007,45.0,Female,Unknown,Cash,Mobile App,30,3.4,117,15.8,38.5,3.0,0,Traditional,Greater Cairo,1,3,90.39,736.04,2024,3,1,Late Night,Low Discount,Cold
106233,2024-03-05 22:00:00,Riyadh-Olaya,Rice Pudding Oven,Large,158.7,4,0.1,none,62801,57.0,Female,Gold,Wallet,Talabat,53,10.5,113,38.3,25.9,2.0,0,Traditional,KSA,0,22,88.87,723.67,2024,3,5,Late Night,Medium Discount,Hot
106964,2024-03-13 12:45:00,Cairo-Nasr City,Om Ali Cream,Medium,96.85,6,0.0,none,67445,43.5,Female,Silver,Wallet,In-store,57,7.3,124,32.7,75.9,4.0,0,Traditional,Greater Cairo,0,12,81.35,662.4499999999999,2024,3,13,Afternoon,No Discount,Hot
103448,2024-02-05 21:45:00,Dubai-Marina,Sweet Koshary Mix,Medium,96.88,11,0.15,Nutella,64523,57.0,Female,Gold,Cash,In-store,96,5.9,118,36.3,27.2,2.0,0,Signature,UAE,0,21,149.2,1214.8799999999999,2024,2,5,Evening,Medium Discount,Hot
106817,2024-03-12 00:00:00,Alex-Stanly,Rice Pudding Oven,Medium,131.96,3,0.0,Nutella,82921,28.0,Female,Gold,Instapay,Mobile App,30,13.7,106,42.2,28.4,4.0,0,Traditional,Alexandria,0,0,55.42,451.3,2024,3,12,Late Night,No Discount,Hot
102368,2024-01-25 15:45:00,Mansoura-Mashaya,Super B.Laban,Medium,53.18,1,0.05,none,77981,69.0,Female,Bronze,Instapay,In-store,31,8.3,102,41.3,41.9,3.0,0,Signature,Delta,0,15,7.45,60.63,2024,1,25,Afternoon,Low Discount,Hot
107982,2024-03-24 03:15:00,Dubai-Marina,Sweet Koshary Mix,Small,93.29,3,0.05,none,55303,67.0,Female,Bronze,Cash,Talabat,32,12.9,127,32.7,70.1,4.0,0,Signature,UAE,1,3,39.18,319.05,2024,3,24,Late Night,Low Discount,Hot
108167,2024-03-26 01:30:00,Cairo-Nasr City,Qishtouza Lotus,Large,126.34,8,0.0,none,62532,49.0,Female,Gold,Credit Card,ElMenus,106,13.3,102,28.8,77.7,1.0,0,Modern,Greater Cairo,0,1,141.5,1152.22,2024,3,26,Late Night,No Discount,Hot
102513,2024-01-27 04:00:00,Tanta-Saeed,Rice Pudding Oven,Small,177.61,9,0.0,Lotus,74997,23.0,Male,Gold,Cash,In-store,50,12.9,118,44.7,27.4,2.0,0,Traditional,Delta,1,4,223.79,1822.2800000000002,2024,1,27,Late Night,No Discount,Hot
109620,2024-04-10 04:45:00,Riyadh-Olaya,Qishtouza Lotus,Large,115.64,4,0.05,Pistachio,63552,58.0,Male,Gold,Cash,In-store,35,12.1,128,16.5,60.2,3.0,0,Modern,KSA,0,4,64.76,527.32,2024,4,10,Late Night,Low Discount,Cold
102724,2024-01-29 08:45:00,Alex-Stanly,Om Ali Cream,Large,87.41,9,0.0,none,67662,36.0,Female,Silver,Credit Card,Talabat,116,3.9,123,27.1,24.1,1.0,0,Traditional,Alexandria,0,8,110.14,896.8299999999999,2024,1,29,Morning,No Discount,Hot
105949,2024-03-02 23:00:00,Cairo-Zamalek,Rice Pudding Nuts,Medium,47.64,10,0.0,Lotus,81581,40.0,Male,Bronze,Cash,In-store,70,11.2,103,16.3,76.4,3.0,0,Traditional,Greater Cairo,1,23,66.7,543.1,2024,3,2,Late Night,No Discount,Cold
109186,2024-04-05 16:15:00,Alex-Stanly,Qishtouza Nutella,Large,56.78,3,0.1,Lotus,75935,18.0,Female,Bronze,Wallet,ElMenus,49,2.6,144,26.0,50.8,1.0,0,Modern,Alexandria,1,16,23.85,194.19,2024,4,5,Afternoon,Medium Discount,Hot
109005,2024-04-03 19:00:00,Cairo-Nasr City,Ice Cream Mango,Large,113.77,6,0.05,Pistachio,78794,43.5,Female,Unknown,Wallet,ElMenus,76,10.1,125,38.4,38.6,2.0,1,Ice Cream,Greater Cairo,0,19,95.57,778.19,2024,4,3,Evening,Low Discount,Hot
101144,2024-01-12 21:45:00,Dubai-Marina,Om Ali Cream,Large,120.48,1,0.0,Nutella,84924,63.0,Male,Bronze,Credit Card,Talabat,109,9.7,138,15.5,64.5,4.0,0,Traditional,UAE,1,21,16.87,137.35,2024,1,12,Evening,No Discount,Cold
109737,2024-04-11 10:00:00,Cairo-Zamalek,Sweet Koshary Mix,Medium,54.19,2,0.0,Nuts,53385,27.0,Male,Silver,Cash,Talabat,89,3.2,127,39.0,34.0,3.0,1,Signature,Greater Cairo,0,10,15.17,123.55,2024,4,11,Morning,No Discount,Hot
107223,2024-03-16 05:30:00,Cairo-Nasr City,Sweet Koshary Mix,Large,127.43,3,0.0,Nuts,61658,17.0,Female,Silver,Credit Card,Mobile App,75,10.5,105,17.0,31.5,4.0,0,Signature,Greater Cairo,1,5,53.52,435.81,2024,3,16,Morning,No Discount,Cold
